s,Month,Season,Total Area Cultivated (Ha),Total Production (Tonnes),Yield (Tonnes/Ha),Avg Rainfall (mm),Avg Temp (deg C),MSP (Rupee/Quintal),Avg Market Price (Rupee/Quintal),Inflation Rate (%),Fuel Prices (Rupee/L),Export Demand (Tonnes)
2023,January,Kharif,30000,30000,1.5,50,30,5850,5850,4,95,55740.45
2023,February,Kharif,40000,40000,1.6,55,30.5,5850,5900,4.5,95,55740.45
2023,March,Kharif,50000,50000,1.7,60,31,5850,6050,5,95,55740.45
2023,April,Kharif,60000,60000,1.8,65,31.5,5850,6100,5.5,95,55740.45
2023,May,Kharif,70000,70000,1.9,70,32,5850,6200,5.8,95,55740.45
2023,June,Rabi,200000,28000,1.9,80,32.5,5850,6300,6,97,55740.45
2023,July,Rabi,97000,272000,0.74,175,31,5850,6200,6.2,110,55740.45
2023,August,Rabi,506550,329000,1.75,225,33.5,5850,6250,6.5,97,55740.45
2023,September,Rabi,506551,329000,1.75,275,32.5,5850,6300,6.8,97,55740.45
2023,October,Rabi,506552,329000,1.75,115,31.5,5850,6350,7,97,55740.45
2023,November,Rabi,506553,329300,1.75,75,33,5850,6600,6.8,97,55740.45
2023,December,Rabi,150000,900000,1.63,90,28,5850,6550,6,97,55740.45
2022,January,Rabi,97000,272000,0.74,9.07,35,5850,5499,4.4,112,16536
2022,February,Rabi,97000,272000,0.74,5.29,39,5850,5353,4.2,112,16537
2022,March,Rabi,97000,272000,0.74,4.93,43,5850,5712,4.2,112,16538
2022,April,Rabi,97000,272000,0.74,6.82,46,5850,5406,2,113,16539
2022,May,Rabi,97000,272000,0.74,19.06,48,5850,5514,4,113,16540
2022,june,Rabi,97000,272000,0.74,74.88,46,5850,5618,1.9,114,16541
2022,July,Kharif,506550,329000,1.75,76.28,41,5850,5661,3.7,114,16542
2022,August,Kharif,506551,329000,1.75,103.36,39,5850,5777,5.4,114,16543
2022,September,Kharif,506552,329000,1.75,91.67,37,5850,5848,3.4,114,16544
2022,October,Kharif,506553,329300,1.75,101.15,38,5850,5121,3.6,114,16544
2022,November,Kharif,506554,329300,1.75,65.85,34,5850,5454,1.6,114,16544
2022,December,Kharif,506554,329300,1.75,12.15,33,5850,6384,3.1,114,16544
2021,January,Rabi,450000,293445,0.5,5,23.5,5275,4873,4.1,91.2,13268
2021,February,Rabi,470000,375054,0.54,4,26,5275,5181,5,91.2,13768
2021,March,Rabi,560050,425605,0.55,8,30,5275,6012,5.5,91.8,14269
2021,April,Rabi,650350,453000,0.53,10,32.8,5275,5209,4.2,92.5,14019
2021,May,Rabi,635000,515000,0.57,20,34.8,5275,4831,6.3,93.5,13270
2021,june,Rabi,635000,515000,0.5,67.8,30.4,5275,4656,6.3,95.5,15770
2021,July,Kharif,635000,515000,0.53,94.3,29,5275,4862,5.6,97,16271
2021,August,Kharif,635000,515000,0.5,103.4,28.5,5275,5214,5.3,98.5,16771
2021,September,Kharif,635000,515000,0.6,133.2,28.3,5275,5404,4.3,99.5,17272
2021,October,Kharif,635000,515000,0.61,90,27,5275,5427,4.5,101,17772
2021,November,Kharif,635000,515000,0.6,60,24.5,5275,5025,4.9,103,18272
2021,December,Kharif,635000,515000,0.62,10,22.3,5275,5172,5.7,105,18772
2020,January,Rabi,14228,58999,0.32,33.5,24.2,5275,5200,6.2,74.5,10000
2020,February,Rabi,14228,59899,0.32,23.3,26,5275,5100,6.3,74.8,11000
2020,March,Rabi,14228,59899,0.32,16.8,28.5,5275,5150,6.4,75.1,12000
2020,April,Rabi,14228,59899,0.32,33.2,30,5275,5100,6.5,75.3,11500
2020,May,Rabi,14228,59899,0.32,94.5,31.7,5275,5050,6.6,75.5,10000
2020,June,Kharif,460163,193728,0.42,186.3,30.9,5275,4850,6.8,76,15000
2020,July,Kharif,460163,207200,0.45,234.8,30.6,5275,4900,7,76.2,16000
2020,August,Kharif,460163,772568,1.67,205.6,29.8,5275,4950,7.1,76.5,17000
2020,September,Kharif,460163,772568,1.67,247.8,29.2,5275,5000,7.2,76.8,18000
2020,October,Kharif,460163,772568,1.67,251.6,28.3,5275,5050,7.3,77,19000
2020,November,Kharif,460163,772568,1.67,95.3,26.5,5275,5100,7.5,77.2,20000
2020,December,Kharif,460163,705634,1.53,55.2,24.8,5275,5150,7.6,77.5,21000
