Year,Month,Season,Total Area Cultivated (Ha),Total Production (Tonnes),Yield (Tonnes/Ha),Avg Rainfall (mm),Avg Temp (deg C),MSP (Rupee/Quintal),Avg Market Price (Rupee/Quintal),Inflation Rate (%),Fuel Prices (Rupee/L),Export Demand (Tonnes)
2023,January,Rabi,970000,320000,5.8,15,22,2800,2183,5.4,107.5,680698
2023,February,Rabi,970000,360000,5.65,15,27.5,2800,2813,5.4,107.5,680698
2023,March,Rabi,970000,400000,5.6,15,30,2800,2035,5.4,105,680698
2023,April,Rabi,970000,360000,5.6,15,30,2800,2035,5.4,105,680698
2023,May,Rabi,970000,160000,5.38,40,37.5,2800,2200,5.4,105.7,680698
2023,June,Kharif,497000,775000,5.38,125,31.5,2800,2813,5.4,109.38,680698
2023,July,Kharif,497000,775000,5.38,225,30.5,2800,2183,5.4,109.38,680698
2023,August,Kharif,497000,1550000,5.38,275,30,2800,2183,5.4,109.38,680698
2023,September,Kharif,497000,1550000,5.38,325,30,2800,2813,5.4,109.38,680698
2023,October,Kharif,497000,3875000,5.38,175,29.5,2800,2813,5.4,109.38,680698
2023,November,Kharif,497000,1550000,5.38,125,27.5,2800,2813,5.4,109.38,680698
2023,December,Kharif,497000,1550000,5.38,40,25,2800,2813,5.4,109.38,680698
2022,January,Rabi,677000,965000,4.75,9.07,35,2060,1965,5.3,112,401436
2022,February,Rabi,677000,965000,4.75,5.29,39,2060,1875,5.3,112,401436
2022,March,Rabi,677000,965000,4.75,4.93,43,2060,1875,6,112,401436
2022,April,Rabi,677000,965000,4.75,6.82,46,2060,1914,6.5,113,401436
2022,May,Rabi,677000,965000,4.75,19.06,48,2060,1878,6.7,113,401436
2022,June,Kharif,1452000,1561000,3.58,74.88,46,2040,3322,7.8,114,7624000
2022,July,Kharif,1452000,1561000,3.58,76.28,41,2040,3352,6.7,114,7624000
2022,August,Kharif,1452000,1561000,3.58,103.36,39,2040,1960,7.5,114,7624000
2022,September,Kharif,1452000,1561000,3.58,91.67,37,2040,1960,8.06,114,7624000
2022,October,Kharif,1452000,1561000,3.58,101.15,38,2040,1750,7.93,114,7624000
2022,November,Kharif,1452000,965000,3.58,65.85,34,2040,1800,7.5,114,7624000
2022,December,Kharif,1452000,965000,3.58,12.15,33,2040,1850,6.53,114,7624000
2021,January,Rabi,"3,00,000","9,00,000",3,9.07,25.85,"1,868","1,600",4.1,91.2,"50,000"
2021,February,Rabi,"3,20,000","9,60,000",3,5.29,26.85,"1,868","1,610",5,91.2,"60,000"
2021,March,Rabi,"3,50,000","10,50,000",3,4.93,27.85,"1,868","1,620",5.5,91.8,"80,000"
2021,April,Rabi,"3,80,000","11,40,000",3,6.82,28.85,"1,868","1,630",4.2,92.5,"1,00,000"
2021,May,Rabi,"4,00,000","12,00,000",3,19.06,29.85,"1,868","1,640",6.3,93.5,"70,000"
2021,June,Rabi,"4,50,000","13,50,000",3,74.88,30.85,"1,868","1,650",6.3,95.5,"1,50,000"
2021,July,Kharif,"6,00,000","18,00,000",3,76.28,31.85,"1,868","1,670",5.6,97,"2,00,000"
2021,August,Kharif,"7,00,000","21,00,000",3,103.36,32.85,"1,868","1,680",5.3,98.5,"2,50,000"
2021,September,Kharif,"7,50,000","22,50,000",3,91.67,33.85,"1,868","1,690",4.1,99.5,"3,00,000"
2021,October,Kharif,"7,00,000","21,00,000",3,101.15,34.85,"1,868","1,750",4.5,101,"3,50,000"
2021,November,Kharif,"6,00,000","18,00,000",3,65.85,35.85,"1,868","1,780",4.9,103,"2,80,000"
2021,December,Kharif,"2,50,000","7,50,000",3,12.15,36.85,"1,868","1,790",5.7,105,"1,00,000"
2020,January,Rabi,830000,3470000,4.18,23,25.4,1868,1900,7.59,68.53,450000
2020,February,Rabi,601000,2404000,4,19,25.4,1868,1880,6.58,67.88,400000
2020,March,Rabi,601000,2404000,4,31,25.4,1868,1850,5.91,64,350000
2020,April,Rabi,601000,2404000,4,48,25.4,1868,1870,7.2,62.3,300000
2020,May,Rabi,250000,1020000,4.08,59,25.4,1868,1850,6.27,62.8,250000
2020,June,Kharif,197900,577500,2.92,116,25.4,1868,1880,6.09,69,300000
2020,July,Kharif,180000,540000,3,185,25.4,1868,1900,6.93,72.5,350000
2020,August,Kharif,202000,606000,3,200,25.4,1868,1950,6.69,74.5,400000
2020,September,Kharif,205000,615000,3,150,25.4,1868,1980,7.34,74.8,450000
2020,October,Kharif,210000,630000,3,103,25.4,1868,2000,7.61,75,500000
2020,November,Kharif,200000,600000,3,72,25.4,1868,1980,6.93,76,450000
2020,December,Kharif,120000,360000,3,35,25.4,1868,1950,4.59,77,400000
